"Date","Price","Open","High","Low"
"Sep 13, 2020","13277.80","13261.16","13279.92","13242.81"
"Sep 11, 2020","13253.90","13302.49","13381.34","13246.29"
"Sep 10, 2020","13298.35","13301.81","13426.26","13268.38"
"Sep 09, 2020","13292.67","13224.92","13331.43","13147.45"
"Sep 08, 2020","13216.03","13183.21","13287.87","13056.83"
"Sep 07, 2020","13173.86","13214.54","13266.67","13149.01"
"Sep 04, 2020","13227.38","13218.40","13284.49","13115.26"
"Sep 03, 2020","13209.95","13285.59","13319.05","13157.71"
"Sep 02, 2020","13281.11","13454.57","13481.84","13216.71"
"Sep 01, 2020","13449.51","13476.69","13588.33","13405.02"
"Aug 31, 2020","13471.43","13493.22","13569.24","13401.79"
"Aug 28, 2020","13485.79","13302.50","13551.67","13261.32"
"Aug 27, 2020","13297.89","13453.49","13594.68","13162.28"
"Aug 26, 2020","13448.72","13329.07","13462.00","13118.17"
"Aug 25, 2020","13324.17","13346.35","13393.74","13233.92"
"Aug 24, 2020","13340.08","13418.51","13561.09","13313.37"
"Aug 21, 2020","13416.74","13465.13","13527.97","13237.24"
"Aug 20, 2020","13456.80","13350.38","13536.08","13321.96"
"Aug 19, 2020","13344.89","13858.79","13889.80","13321.01"
"Aug 18, 2020","13852.90","13763.99","13935.78","13688.00"
"Aug 17, 2020","13758.23","13532.61","13800.98","13412.36"
"Aug 14, 2020","13508.71","13568.92","13632.05","13432.62"
"Aug 13, 2020","13558.78","13298.28","13656.93","13270.31"
"Aug 12, 2020","13292.04","13280.60","13542.34","12958.44"
"Aug 11, 2020","13268.38","14115.84","14147.91","13209.68"
"Aug 10, 2020","14110.29","14174.27","14268.79","14058.94"
"Aug 07, 2020","14175.16","14345.74","14423.88","14044.38"
"Aug 06, 2020","14340.22","14136.65","14385.91","14114.10"
"Aug 05, 2020","14131.67","14081.74","14258.40","13993.78"
"Aug 04, 2020","14075.79","13801.55","14085.52","13746.45"
"Aug 03, 2020","13801.41","13817.63","13847.65","13693.72"
"Jul 31, 2020","13779.24","13712.05","13843.08","13672.69"
"Jul 30, 2020","13711.99","13797.20","13806.56","13593.86"
"Jul 29, 2020","13797.37","13714.33","13869.08","13617.03"
"Jul 28, 2020","13714.76","13588.58","13861.41","13370.50"
"Jul 27, 2020","13589.46","13332.17","13622.62","13330.29"
"Jul 24, 2020","13342.42","13220.04","13376.41","13178.58"
"Jul 23, 2020","13219.62","13104.74","13296.49","13057.42"
"Jul 22, 2020","13104.71","12856.29","13106.59","12842.61"
"Jul 21, 2020","12856.29","12695.18","12871.84","12676.08"
