,Date,Price_WBTC/USD
0,2019-01-30,3496.45533464
1,2019-01-31,3466.50653268
2,2019-02-01,3480.77231412
3,2019-02-02,3542.09536095
4,2019-02-03,3477.86602633
5,2019-02-04,3481.21934559
6,2019-02-05,3461.8729256
7,2019-02-06,3444.96104912
8,2019-02-07,3395.9786162
9,2019-02-08,3664.8411371
10,2019-02-09,3677.96397919
11,2019-02-10,3686.28802728
12,2019-02-11,3636.48735917
13,2019-02-12,3664.99121582
14,2019-02-13,3641.11856305
15,2019-02-14,3611.82446599
16,2019-02-15,3629.19582092
17,2019-02-16,3644.54475489
18,2019-02-17,3705.2908502
19,2019-02-18,3909.03267156
20,2019-02-19,3869.74387065
21,2019-02-20,4055.46445129
22,2019-02-21,3978.72447272
23,2019-02-22,4018.18880002
24,2019-02-23,4166.84249427
25,2019-02-24,3659.92785254
26,2019-02-25,3865.78174586
27,2019-02-26,3904.57309629
28,2019-02-27,3903.79497581
29,2019-02-28,3854.58555645
30,2019-03-01,3858.34984195
31,2019-03-02,3871.57692662
32,2019-03-03,3824.16926661
33,2019-03-04,3759.72220956
34,2019-03-05,3923.0371054
35,2019-03-06,3923.13054144
36,2019-03-07,3898.29963424
37,2019-03-08,3901.64382424
38,2019-03-09,3941.1867382
39,2019-03-10,3979.81068069
40,2019-03-11,3900.04842514
41,2019-03-12,3909.91919298
42,2019-03-13,3901.74356101
43,2019-03-14,3941.65341835
44,2019-03-15,3967.20486186
45,2019-03-16,4041.24493155
46,2019-03-17,4031.44661696
47,2019-03-18,4075.62411073
48,2019-03-19,4076.27262813
49,2019-03-20,4102.37682654
50,2019-03-21,4031.06209408
51,2019-03-22,4034.86531636
52,2019-03-23,4043.71893913
53,2019-03-24,4034.19217595
54,2019-03-25,3974.14404654
55,2019-03-26,3991.63232287
56,2019-03-27,4083.73683816
57,2019-03-28,4085.97603903
58,2019-03-29,4097.39383886
59,2019-03-30,4100.34604631
60,2019-03-31,4101.25067159
61,2019-04-01,4144.11904434
62,2019-04-02,4898.99467254
63,2019-04-03,4999.96133758
64,2019-04-04,4903.40752198
65,2019-04-05,5042.6092631
66,2019-04-06,5076.99428277
67,2019-04-07,5209.29143145
68,2019-04-08,5244.83335988
69,2019-04-09,5205.6787486
70,2019-04-10,5283.3693789
71,2019-04-11,5093.40394983
72,2019-04-12,5100.09145569
73,2019-04-13,5087.16156564
74,2019-04-14,5150.69131583
75,2019-04-15,5083.83745515
76,2019-04-16,5216.74353269
77,2019-04-17,5233.5539183
78,2019-04-18,5301.90801404
79,2019-04-19,5318.75083647
80,2019-04-20,5352.31786304
81,2019-04-21,5319.61342836
82,2019-04-22,5411.85781053
83,2019-04-23,5554.37555381
84,2019-04-24,5478.06648292
85,2019-04-25,5170.7312569
86,2019-04-26,5282.24871549
87,2019-04-27,5299.46104382
88,2019-04-28,5271.2003968
89,2019-04-29,5236.78258536
90,2019-04-30,5357.86439479
91,2019-05-01,5403.73672779
92,2019-05-02,5514.28611863
93,2019-05-03,5792.81616248
94,2019-05-04,5862.01418946
